"database_name","fk_name","parent_schema","parent_table","parent_column","referenced_schema","referenced_table","referenced_column","column_ordinal"
"GA_DATALAKE","fk_prod_unid_fornecedor","dbo","dim_prod_unid","sk_fornecedor","dbo","dim_fornecedor","sk_fornecedor","1"
"GA_DATALAKE","fk_prod_unid_produto","dbo","dim_prod_unid","sk_produto","dbo","dim_produto","sk_prod","1"
"GA_DATALAKE","fk_dim_telefone_cd_cliente","dbo","dim_telefone","sk_cliente","dbo","dim_cliente","sk_cliente","1"
"GA_DATALAKE","fk_produto_custo_fornecedor","dbo","fact_produto_custo","sk_fornecedor","dbo","dim_fornecedor","sk_fornecedor","1"
"GA_DATALAKE","fk_produto_custo_prod","dbo","fact_produto_custo","sk_prod","dbo","dim_produto","sk_prod","1"
"GA_DATALAKE","fk_ped_venda_chokdist_cliente","gold","fact_ped_venda_chokdistribuidora","sk_cliente","silver","dim_cliente_chokdistribuidora","sk_cliente","1"
"GA_DATALAKE","fk_ped_venda_chokdist_data_faturamento","gold","fact_ped_venda_chokdistribuidora","sk_data_faturamento","silver","dim_calendario","sk_calendario","1"
"GA_DATALAKE","fk_ped_venda_chokdist_data_venda","gold","fact_ped_venda_chokdistribuidora","sk_data_venda","silver","dim_calendario","sk_calendario","1"
"GA_DATALAKE","fk_ped_venda_chokdist_prod","gold","fact_ped_venda_chokdistribuidora","sk_prod","silver","dim_prod_chokdistribuidora","sk_prod","1"
"GA_DATALAKE","fk_ped_venda_chokdist_situacao","gold","fact_ped_venda_chokdistribuidora","sk_situacao","silver","dim_situacao_pedido_chokdistribuidora","sk_situacao_pedido","1"
"GA_DATALAKE","fk_ped_venda_chokdist_tipo_pedido","gold","fact_ped_venda_chokdistribuidora","sk_tipo_pedido","silver","dim_tipo_pedido_chokdistribuidora","sk_tipo_pedido","1"
"GA_DATALAKE","fk_ped_venda_chokdist_vendedor","gold","fact_ped_venda_chokdistribuidora","sk_vendedor","silver","dim_vendedor_chokdistribuidora","sk_vendedor","1"
"GA_DATALAKE","fk_bridge_fornec_fabric_fabricante","silver","bridge_fornec_fabric_chokdistribuidora","sk_fabricante","silver","dim_fabric_chokdistribuidora","sk_fabricante","1"
"GA_DATALAKE","fk_bridge_fornec_fabric_fornecedor","silver","bridge_fornec_fabric_chokdistribuidora","sk_fornecedor","silver","dim_fornecedor_chokdistribuidora","sk_fornecedor","1"
"GA_DATALAKE","fk_bridge_fornec_prod_fornecedor","silver","bridge_fornec_prod_chokdistribuidora","sk_fornecedor","silver","dim_fornecedor_chokdistribuidora","sk_fornecedor","1"
"GA_DATALAKE","fk_bridge_fornec_prod_prod","silver","bridge_fornec_prod_chokdistribuidora","sk_prod","silver","dim_prod_chokdistribuidora","sk_prod","1"
"GA_DATALAKE","fk_cliente_chokdist_grupo","silver","dim_cliente_chokdistribuidora","sk_grupo_cliente","silver","dim_grupo_cliente_chokdistribuidora","sk_grupo_cliente","1"
"GA_DATALAKE","fk_cliente_chokdist_segmento","silver","dim_cliente_chokdistribuidora","sk_segmento","silver","dim_ramo_atividade_chokdistribuidora","sk_ramo_atividade","1"
"GA_DATALAKE","fk_endereco_cliente_chokdist_cliente","silver","dim_endereco_cliente_chokdistribuidora","sk_cliente","silver","dim_cliente_chokdistribuidora","sk_cliente","1"
"GA_DATALAKE","fk_equipe_chokdist_gerencia","silver","dim_equipe_chokdistribuidora","sk_gerencia","silver","dim_gerencia_chokdistribuidora","sk_gerencia","1"
"GA_DATALAKE","fk_equipe_chokdist_supervisor","silver","dim_equipe_chokdistribuidora","sk_supervisor","silver","dim_vendedor_chokdistribuidora","sk_vendedor","1"
"GA_DATALAKE","fk_funcionario_cargo","silver","dim_funcionario","sk_cargo","silver","dim_cargo","sk_cargo","1"
"GA_DATALAKE","fk_funcionario_categoria","silver","dim_funcionario","sk_categoria","silver","dim_categoria","sk_categoria","1"
"GA_DATALAKE","fk_funcionario_departamento","silver","dim_funcionario","sk_departamento","silver","dim_departamento","sk_departamento","1"
"GA_DATALAKE","fk_funcionario_empresa","silver","dim_funcionario","sk_empresa","silver","dim_empresa","sk_empresa","1"
"GA_DATALAKE","fk_funcionario_funcao","silver","dim_funcionario","sk_funcao","silver","dim_funcao","sk_funcao","1"
"GA_DATALAKE","fk_gerencia_chokdist_gerente","silver","dim_gerencia_chokdistribuidora","sk_gerente","silver","dim_vendedor_chokdistribuidora","sk_vendedor","1"
"GA_DATALAKE","fk_linha_chokdist_categ","silver","dim_linha_chokdistribuidora","sk_categ","silver","dim_categ_prod_chokdistribuidora","sk_categoria","1"
"GA_DATALAKE","fk_linha_chokdist_secao","silver","dim_linha_chokdistribuidora","sk_secao","silver","dim_secao_chokdistribuidora","sk_secao","1"
"GA_DATALAKE","fk_produto_chokdist_fabric","silver","dim_prod_chokdistribuidora","sk_fabric","silver","dim_fabric_chokdistribuidora","sk_fabricante","1"
"GA_DATALAKE","fk_produto_chokdist_linha","silver","dim_prod_chokdistribuidora","sk_linha","silver","dim_linha_chokdistribuidora","sk_linha","1"
"GA_DATALAKE","fk_estoque_chokdist_prod","silver","fact_estoque_chokdistribuidora","sk_prod","silver","dim_prod_chokdistribuidora","sk_prod","1"
"GA_DATALAKE","fk_pagamento_calendario","silver","fact_pagamento_verba_sankhya","sk_calendario","silver","dim_calendario","sk_calendario","1"
"GA_DATALAKE","fk_pagamento_empresa","silver","fact_pagamento_verba_sankhya","sk_empresa","silver","dim_empresa","sk_empresa","1"
"GA_DATALAKE","fk_pagamento_evento","silver","fact_pagamento_verba_sankhya","sk_evento","silver","dim_evento","sk_evento","1"
"GA_DATALAKE","fk_pagamento_funcionario","silver","fact_pagamento_verba_sankhya","sk_funcionario","silver","dim_funcionario","sk_funcionario","1"
